"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J4","Power Terminal","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J5","Motor Terminal","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J6","Controller connector","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Q1,Q2,Q3,Q4","IRLZ44N","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","4",""
"Q5,Q6","PN2222A","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q7","2N3905","https://www.nteinc.com/specs/original/2N3905_06.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R2,R3,R4","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R5","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"SW1","SW_SPST","~","Button_Switch_THT:SW_EG1218","1",""
